artistname,artistURL,day,starttime,endtime,venue,category
The Living Museum,https://schedule.sxsw.com/2018/artists/23552,"Mar 13, 2018",9:00pm , 11:00pm,Waller Ballroom,Avant / Experimental
Liza Anne,https://schedule.sxsw.com/2018/artists/18036,"Mar 15, 2018",12:00am , 12:40am,Blackheart,Rock
Liza Anne,https://schedule.sxsw.com/2018/artists/18036,"Mar 14, 2018",9:00pm , 9:40pm,Maggie Mae's Rooftop,Rock
Liz Brasher,https://schedule.sxsw.com/2018/artists/23059,"Mar 14, 2018",11:00pm , 11:20pm,Stubb's Inside,Americana
Liz Brasher,https://schedule.sxsw.com/2018/artists/23059,"Mar 15, 2018",1:30pm , 2:10pm,Flatstock Stage Austin Convention Center,Americana
Liz Cooper and the Stampede,https://schedule.sxsw.com/2018/artists/18105,"Mar 14, 2018",9:15pm , 9:45pm,Palm Door on Sixth Patio,Rock
Lizzie and The Makers,https://schedule.sxsw.com/2018/artists/23173,"Mar 17, 2018",9:00pm , 9:40pm,Saxon Pub,Rock
Lizzie No,https://schedule.sxsw.com/2018/artists/17625,"Mar 15, 2018",12:00am , 12:40am,18th Over Austin,Americana
LNDN DRGS/Jay Worthy,https://schedule.sxsw.com/2018/artists/23563,"Mar 16, 2018",8:00pm , 8:25pm,Sheraton BackYARD,Hip Hop / Rap
LNG/SHT,https://schedule.sxsw.com/2018/artists/18605,"Mar 14, 2018",1:00am , 1:40am,Karma Lounge,Hip Hop / Rap
LNG/SHT,https://schedule.sxsw.com/2018/artists/18605,"Mar 16, 2018",12:50pm , 1:10pm,Flatstock Stage Austin Convention Center,Hip Hop / Rap
LNG/SHT,https://schedule.sxsw.com/2018/artists/18605,"Mar 16, 2018",12:00am , 12:40am,Half Step,Hip Hop / Rap
Lo Country,https://schedule.sxsw.com/2018/artists/21599,"Mar 14, 2018",1:00am , 1:50am,Victorian Room at The Driskill,Alt Country
Loki,https://schedule.sxsw.com/2018/artists/23396,"Mar 13, 2018",12:30am , 1:15am,Plush,DJ
LOLA Local Opera Local Artists,https://schedule.sxsw.com/2018/artists/22671,"Mar 14, 2018",8:00pm , 8:40pm,The Hideout,Classical
Lola Marsh,https://schedule.sxsw.com/2018/artists/20105,"Mar 15, 2018",11:00pm , 11:40pm,Maggie Mae's Rooftop,Pop
Lola Marsh,https://schedule.sxsw.com/2018/artists/20105,"Mar 13, 2018",9:00pm , 9:40pm,Blackheart,Pop
Lola Marsh,https://schedule.sxsw.com/2018/artists/20105,"Mar 17, 2018",1:00pm , 1:40pm,International Day Stage Austin Convention Center,Pop
Lola Tried,https://schedule.sxsw.com/2018/artists/21271,"Mar 12, 2018",9:45pm , 10:25pm,The Sidewinder Outside,Rock
Lola Tried,https://schedule.sxsw.com/2018/artists/21271,"Mar 17, 2018",1:00am , 1:40am,Blackheart,Rock
Lola Tried,https://schedule.sxsw.com/2018/artists/21271,"Mar 14, 2018",9:15pm , 9:45pm,Hotel Vegas at Volstead,Rock
Lolo Lovina,https://schedule.sxsw.com/2018/artists/19595,"Mar 17, 2018",9:00pm , 9:40pm,Russian House,World
Lolo Lovina,https://schedule.sxsw.com/2018/artists/19595,"Mar 13, 2018",11:30pm , 12:00am,Lucille,World
Lomelda,https://schedule.sxsw.com/2018/artists/22581,"Mar 14, 2018",8:50pm , 9:20pm,Barracuda,Folk
Lomelda,https://schedule.sxsw.com/2018/artists/22581,"Mar 15, 2018",7:30pm , 8:00pm,Cheer Up Charlie's,Folk
Lomelda,https://schedule.sxsw.com/2018/artists/22581,"Mar 12, 2018",9:10pm , 10:00pm,Mohawk Indoor,Folk
Lo Moon,https://schedule.sxsw.com/2018/artists/22574,"Mar 16, 2018",10:00pm , 10:30pm,Trinity Warehouse,Rock
Lo Moon,https://schedule.sxsw.com/2018/artists/22574,"Mar 16, 2018",1:00pm , 1:40pm,Radio Day Stage Austin Convention Center,Rock
London Reyes,https://schedule.sxsw.com/2018/artists/23496,"Mar 14, 2018",9:10pm , 9:25pm,Tap Room at The Market,Hip Hop / Rap
Look Vibrant,https://schedule.sxsw.com/2018/artists/18042,"Mar 15, 2018",9:00pm , 9:40pm,Swan Dive Patio,Pop
L/O/O/N,https://schedule.sxsw.com/2018/artists/23298,"Mar 14, 2018",1:00am , 1:50am,Elysium,Electronic
Lord Buffalo,https://schedule.sxsw.com/2018/artists/18282,"Mar 16, 2018",9:00pm , 9:40pm,Esther's Follies,Rock
Lorine Chia,https://schedule.sxsw.com/2018/artists/20208,"Mar 17, 2018",11:00pm , 11:40pm,Palm Door on Sixth Patio,R & B
Los Chinchillos Del Caribe,https://schedule.sxsw.com/2018/artists/20978,"Mar 14, 2018",11:00pm , 11:40pm,Speakeasy,Latin
Los Chinchillos Del Caribe,https://schedule.sxsw.com/2018/artists/20978,"Mar 16, 2018",1:00am , 1:40am,Speakeasy,Latin
Los Chinchillos Del Caribe,https://schedule.sxsw.com/2018/artists/20978,"Mar 15, 2018",11:20pm , 12:00am,Half Step,Latin
Los Coast,https://schedule.sxsw.com/2018/artists/22624,"Mar 15, 2018",1:00am , 1:50am,Parish,Rock
Los Coast,https://schedule.sxsw.com/2018/artists/22624,"Mar 14, 2018",11:30pm , 12:20am,Lamberts,Rock
Los Coast,https://schedule.sxsw.com/2018/artists/22624,"Mar 13, 2018",8:00pm , 8:25pm,Empire Control Room,Rock
Los Lobos,https://schedule.sxsw.com/2018/artists/23655,"Mar 15, 2018",8:30pm , 9:45pm,The SXSW Outdoor Stage presented by MGM Resorts,Latin Rock
Los Outsaiders,https://schedule.sxsw.com/2018/artists/17803,"Mar 13, 2018",11:00pm , 11:40pm,Maggie Mae's Rooftop,Rock
Los Outsaiders,https://schedule.sxsw.com/2018/artists/17803,"Mar 17, 2018",12:30am , 1:00am,720 Club Patio,Rock
Los Profetas,https://schedule.sxsw.com/2018/artists/23172,"Mar 17, 2018",6:40pm , 6:55pm,University Avenue Church of Christ,Gospel
Los Skarnales,https://schedule.sxsw.com/2018/artists/22964,"Mar 16, 2018",1:00am , 1:50am,Continental Club,Ska
The Lost Brothers,https://schedule.sxsw.com/2018/artists/21615,"Mar 15, 2018",9:00pm , 9:40pm,The Velveeta Room,Folk
The Lost Brothers,https://schedule.sxsw.com/2018/artists/21615,"Mar 16, 2018",9:10pm , 10:00pm,Victorian Room at The Driskill,Folk
Los Wilds,https://schedule.sxsw.com/2018/artists/17435,"Mar 14, 2018",12:00am , 12:40am,Bungalow,Rock
Los Wilds,https://schedule.sxsw.com/2018/artists/17435,"Mar 16, 2018",9:40pm , 10:10pm,Hotel Vegas at Volstead,Rock
Loud Luxury,https://schedule.sxsw.com/2018/artists/23668,"Mar 14, 2018",11:00pm , 12:30am,Kingdom,Dance
Louis Futon DJ Set,https://schedule.sxsw.com/2018/artists/23369,"Mar 15, 2018",12:00am , 1:50am,Kingdom,Electronic
Louis Futon LIVE,https://schedule.sxsw.com/2018/artists/23585,"Mar 14, 2018",10:00pm , 10:40pm,Scoot Inn,Electronic
Lou Rebecca,https://schedule.sxsw.com/2018/artists/18588,"Mar 15, 2018",9:15pm , 9:55pm,Hotel Vegas,Electronic
lovelytheband,https://schedule.sxsw.com/2018/artists/22722,"Mar 13, 2018",12:00am , 12:40am,The Main II,Rock
lovelytheband,https://schedule.sxsw.com/2018/artists/22722,"Mar 17, 2018",2:00pm , 2:40pm,Radio Day Stage Austin Convention Center,Rock
